OccupationCode,OccupationText,,,
9520,Street vendors (excluding food),,,
9611,Garbage and recycling collectors,,,
9612,Refuse sorters,,,
9613,Sweepers and related labourers,,,
9621,Messengers, package deliverers and luggage porters,,,
9622,Odd job persons,,,
9623,Meter readers and vending-machine collectors,,,
9624,Water and firewood collectors,,,
9629,Elementary workers not elsewhere classified,,,
None,No occupation,,,
U,Unknown,,,
